Trade Date,ISIN,Last Trade Price (in Rs.),Last Trade Value (Rs. in lacs),Total Trade Value (Rs. in lacs),Last Trade Yield (YTM) (Annualized) (%),Weighted Average Price  (Rs.),Weighted Average Yield (YTM) (%)
14-Dec-2017,INE923L07118 ,100.1228,6000.00,6000.00,6.0000,100.1228,6.0000
14-Dec-2017,INE923L07126 ,100.1228,5500.00,5500.00,6.0000,100.1228,6.0000
14-Dec-2017,INE206D08188 ,109.0513,20.00,20.00,7.6364,109.0513,7.6364
14-Dec-2017,INE090A08TU6 ,99.9405,1000.00,1000.00,7.6000,99.9405,7.6000
14-Dec-2017,INE804I07VR7 ,134.2670,150.00,150.00,9.0000,134.2670,9.0000
14-Dec-2017,INE008A08U84 ,100.0000,100.00,100.00,10.7300,100.0000,10.7300
14-Dec-2017,INE975G08223 ,100.1000,170.00,170.00,9.4900,100.1000,9.4900
14-Dec-2017,INE756I08090 ,106.0574,1150.00,2300.00,8.3500,106.3337,8.3000
14-Dec-2017,INE163R08843 ,101.1900,480.00,480.00,8.6600,101.1900,8.6600
14-Dec-2017,INE163R08835 ,101.1900,1080.00,1080.00,8.6600,101.1900,8.6600
14-Dec-2017,INE918K07128 ,167.0670,15.00,15.00,0.0000,167.0670,0.0000
14-Dec-2017,INE540P07137 ,101.4135,240.00,240.00,8.3700,101.4135,8.3700
14-Dec-2017,INE752E07OB6 ,102.4700,5000.00,5000.00,7.2502,102.4700,7.2502
14-Dec-2017,INE115A07JF5 ,102.2668,100.00,1000.00,7.7500,102.2668,7.7500
